"网民上网时间分布（2015.11.01~2015.11.30）",
"时间段","浏览量占比",
"00:00~00:59","3.11%",
"01:00~01:59","2.01%",
"02:00~02:59","1.41%",
"03:00~03:59","1.11%",
"04:00~04:59","0.97%",
"05:00~05:59","1.03%",
"06:00~06:59","1.45%",
"07:00~07:59","2.24%",
"08:00~08:59","3.63%",
"09:00~09:59","4.79%",
"10:00~10:59","5.29%",
"11:00~11:59","5.29%",
"12:00~12:59","5.29%",
"13:00~13:59","5.43%",
"14:00~14:59","5.53%",
"15:00~15:59","5.65%",
"16:00~16:59","5.64%",
"17:00~17:59","5.38%",
"18:00~18:59","5.55%",
"19:00~19:59","6.19%",
"20:00~20:59","6.48%",
"21:00~21:59","6.39%",
"22:00~22:59","5.71%",
"23:00~23:59","4.43%",

