39484554, 41842194, 37086879, 38548129, 37180575, 34300309, 33792374, 39597564, 42270906, 37640823,
39274093, 39219088, 44456977, 36050478, 34377980, 35294249, 33072199, 28113764, 36923968, 31068784,
32715044, 30938792, 34212329, 33183174, 32637793, 37248846, 37459044, 32737499, 30474084, 32217156,
30583836, 36686271, 34141627, 28457510, 31815026, 32040160, 34112456, 30316362, 32164710, 27985032,
29967046, 37740869, 31509393, 25357187, 29296413, 28324069, 34641111, 31181884, 33372116, 31292221,
26690569, 31071978, 30233079, 27873564, 35451016, 29305887, 25559666, 23912015, 30610510, 26509324,
27045719, 30369041, 25274214, 30240903, 27026815, 27378872, 28004078, 24539134, 29294722, 26869106,
28588355, 25291943, 25101880, 21288050, 29332431, 26712327, 28422746, 23030375, 32497612, 22805085,
21355503, 22726740, 23300353, 23933088, 24952502, 22430956, 27884318, 26071655, 25127610, 24393670,
25889248, 27130738, 27152492, 24655930, 19623712, 21044055, 23697395, 25017791, 26593116, 27438280,
22564752, 24651125, 21689878, 21333084, 24558394, 23648758, 25500293, 24746936, 21278594, 23071764,
25938952, 24344342, 23062871, 24810847, 25116724, 21860586, 23684546, 22562492, 26672000, 19792716,
21160851, 22948222, 23793402, 20222986, 21705511, 22037208, 19701739, 19449560, 20912244, 21684625,
22957337, 21177875, 20848166, 22676525, 23141819, 22076581, 19508857, 22526109, 21671469, 20548505,
20267179, 22550909, 21329050, 20399453, 19117921, 18933233, 19665480, 19810113, 20989758, 19533831,
18594548, 20395443, 20938831, 20702541, 19704844, 21316986, 19260270, 21095013, 22192644, 19991657,
21779245, 20502126, 20070597, 19775515, 22757602, 22063005, 20573283, 18950420, 19268093, 19964680,
20047101, 20146844, 21283975, 19277424, 22499394, 18028045, 17766194, 17577401, 17888423, 22494291,
19224240, 19075331, 19358715, 18231156, 18563590, 18923728, 18036906, 18484502, 19289382, 19469658,
20147841, 17960159, 21401185, 18988526, 18521795, 21680329, 18394368, 18144080, 20974015, 19007703,
17325000, 18169988, 19646275, 17533706, 18471023, 18179967, 17836086, 17763908, 18190510, 17582781,
18841959, 18722592, 17442268, 18121330, 18140965, 17747085, 19334280, 18736659, 17997021, 20620434,
18767775, 19427548, 19648332, 19593949, 17000000, 18602525, 18879575, 17898297, 18270836, 19662248,
17000000, 17013218, 17000000, 18306596, 17982700, 18486500, 17754406, 17481519, 17212001, 17710002,
19374631, 19441474, 18071593, 18635628, 17558754, 18350454, 19356751, 17138357, 17977493, 18736717,
17713417, 17201753, 18411648, 17000000, 18680168, 17470546, 18231806, 18421004, 18616335, 18520141,
19080467, 17376693, 17386621, 18087266, 17000000, 17480588, 18112157, 17841372, 17928674, 17745988,
17668307, 18106560, 18783875, 17337789, 17597994, 17000000, 18532717, 17437967, 17446740, 17834559,
19505956, 20405977, 19226990, 18358867, 18418999, 17549328, 17485207, 20199411, 17726154, 17493427,
18661676, 18267243, 17849997, 17322876, 19853686, 17857353, 19212739, 20717311, 20014767, 17510133,
18719953, 18249964, 18785212, 20769919, 18984099, 18283649, 18403533, 17521725, 17489128, 19966501,
17404120, 19587309, 17520258, 17844217, 19623729, 18170280, 19103550, 17684441, 19734230, 19727038,
17319288, 20420761, 21024792, 20072614, 18601386, 20181573, 20263548, 18571301, 19817839, 17072111,
18629872, 19771495, 19286672, 20152550, 18263084, 20710501, 18188961, 19298719, 21296067, 20894245,
19257322, 18877789, 17398430, 19244282, 20480196, 20858294, 19157339, 19047392, 21004135, 20977689,
18916558, 20789186, 21263492, 21037218, 19592607, 21152801, 25499819, 21819613, 19050186, 19441382,
21372012, 23397943, 20516158, 20189559, 20840530, 20132358, 21907679, 22838675, 21869611, 22585592,
20300386, 20155025, 20601468, 21940122, 22703258, 20604421, 24086976, 22104369, 22228011, 21795817,
21546314, 22021435, 25368721, 22285708, 23409657, 25937750, 24755895, 28612882, 22883027, 21810105,
23565414, 22380149, 21948811, 22809627, 25053653, 23843716, 21229418, 21628041, 22388578, 24752054,
23328357, 23410118, 23923667, 22213232, 25281132, 25926531, 22490140, 22585567, 21432641, 22879231,
25962391, 25363567, 27459058, 26625001, 26711292, 28085792, 25155899, 28539542, 25515024, 26131330,
23829659, 28881066, 22569923, 23364638, 27518470, 26481554, 27726128, 23277842, 24673887, 27899175,
32141296, 27776048, 27214586, 28420946, 28214900, 25762534, 29790076, 28955381, 29183297, 30403377,
25588667, 30424231, 27888534, 27964779, 35875740, 31950114, 34825390, 29059928, 26264274, 27892342,
31693377, 31820749, 31720029, 34330300, 33131060, 25087544, 33054699, 29483599, 32539540, 33635121,
