网民上网时间分布（2016.01.01~2016.02.29）,,,,,,,,,
,,,,,,,,,9.71
,,,,,,,,,9.56
,,,,,,,,,9.44
,,,,,,,,,9.36
,,,,,,,,,9.32
,,,,,,,,,9.32
,,,,,,,,,9.36
,,,,,,,,,9.44
,,,,,,,,,9.55
,,,,,,,,,9.7
,,,,,,,,,9.88
,,,,,,,,,10.09
,,,,,,,,,10.33
,,,,,,,,,10.61
,,,,,,,,,10.94
,,,,,,,,,11.33
,,,,,,,,,11.79
,,,,,,,,,12.34
,,,,,,,,,12.97
,,,,,,,,,13.71
,,,,,,,,,14.57
,,,,,,,,,15.56
,,,,,,,,,16.69
,,,,,,,,,17.94
,,,,,,,,,19.29
,,,,,,,,,20.66
,,,,,,,,,22
,,,,,,,,,23.27
,,,,,,,,,24.39
,,,,,,,,,25.33
,,,,,,,,,26.02
,,,,,,,,,26.41
,,,,,,,,,26.44
,,,,,,,,,26.06
,,,,,,,,,25.32
,,,,,,,,,24.26
,,,,,,,,,22.96
,,,,,,,,,21.47
,,,,,,,,,19.86
,,,,,,,,,18.2
,,,,,,,,,16.54
,,,,,,,,,14.95
,,,,,,,,,13.5
,,,,,,,,,12.25
,,,,,,,,,11.22
,,,,,,,,,10.39
,,,,,,,,,9.75
,,,,,,,,,9.26
,,,,,,,,,8.92
,,,,,,,,,8.68
,,,,,,,,,8.54
,,,,,,,,,8.46
,,,,,,,,,8.44
,,,,,,,,,8.43
