39.62	38.67
44.03	45.37
44.44	41.66
44.85	48.59
45.79	48.11
46.22	41.66
51.85	47.66
49.54	48.62
52.33	47.66
44.03	48.14
44.33	45.79
47.66	40.18
50.94	42.45
44.85	49.53
49.07	55.14
45.28	41.12
41.12	37.38
42.99	48.59
44.85	42.05
50.94	48.11
43.92	42.05
39.81	50.46
44.85	45.37
48.14	39.81
49.53	52.33
44.44	49.53
43.92	35.18
46.72	42.99
38.31	43.92
48.59	42.05
47.66	47.16
44.85	50.46
28.97	46.29
44.33	50.00
48.14	46.29
41.28	48.14
50.46	44.95
54.12	56.48
52.33	51.40
47.66	42.99
45.79	42.99
44.33	44.33
42.05	48.59
30.84	36.44
51.88	38.67
42.05	42.99
56.48	46.72
46.72	46.29
42.05	48.59
34.57	45.79
45.79	45.79
49.53	51.40
46.29	39.81
49.53	44.85
56.48	46.29
41.12	46.72
51.37	54.12
44.44	43.51
41.66	40.18
40.56	30.84
49.53	57.94
38.88	40.74
47.22	29.62
53.27	48.59
38.31	42.05
51.40	47.66
36.79	50.00
40.18	51.40
28.03	43.92
44.95	45.87
52.77	50.00
32.40	31.48
39.25	50.46
45.79	42.99
43.92	49.05
47.16	52.33
46.29	43.92
38.67	53.27
48.59	46.72
45.79	44.85
40.18	36.44
48.59	42.99
41.12	51.40
43.92	52.33
35.51	35.51
46.72	48.59
47.22	39.81
42.59	50.92
30.84	41.12
55.55	50.00
42.05	46.72
37.03	43.92
45.28	44.85
52.33	54.20
45.79	36.44
43.92	50.46
41.12	45.37
46.78	40.74
41.12	41.12
52.33	42.05
39.25	37.38
32.71	30.84
40.74	39.81
48.14	47.22
53.21	48.14
40.18	49.53
40.56	53.27
40.18	43.92
37.38	45.79
42.99	56.07
42.99	53.27
50.00	50.92
51.40	50.46
36.11	48.62
40.74	57.94
42.59	40.74
41.12	43.92
50.00	49.07
46.29	50.92
41.28	45.87
41.66	49.53
41.12	44.85
42.99	37.96
47.66	40.18
33.64	44.85
34.57	35.51
29.90	42.45
59.43	53.27
43.92	43.92
37.96	49.53
46.22	42.05
48.59	45.79
51.40	44.85
50.00	47.66
37.38	48.14
48.59	47.66
46.72	43.92
45.79	44.85
50.00	44.44
50.46	42.59
41.28	44.44
44.85	35.51
49.54	43.63
46.29	46.29
42.20	38.88
51.85	55.55
45.37	45.79
40.56	49.53
43.51	38.31
47.66	46.29
42.05	43.92
38.67	51.88
49.53	36.44
42.99	40.18
34.90	46.22
47.66	54.20
39.25	38.31
47.66	45.79
36.44	39.25
43.39	45.28
51.85	50.00
39.62	42.45
43.51	57.40
39.81	52.29
41.28	39.81
51.85	45.37
49.07	44.95
44.03	37.03
35.18	40.74
44.44	45.37
43.92	33.64
47.22	50.00
42.59	37.96
47.66	55.14
37.38	31.13
50.94	50.46
37.73	35.84
42.05	48.59
48.59	39.25
52.33	45.79
49.53	48.59
39.25	51.40
52.33	46.72
43.92	50.94
44.33	42.59
42.59	46.72
49.53	42.05
41.66	57.79
41.66	42.59
46.78	42.59
49.07	41.66
45.37	35.18
54.20	48.59
45.37	48.14
44.44	43.51
38.31	41.12
39.25	38.88
47.27	45.87
53.21	64.54
46.29	54.20
44.85	40.18
44.85	56.07
42.45	51.88
54.62	40.18
54.71	52.33
39.81	50.00
40.18	47.16
45.28	52.33
40.18	44.85
53.27	38.31
42.05	43.39
60.37	53.27
56.07	42.99
49.53	50.94
49.05	43.92
42.59	47.66
50.94	40.18
50.92	50.00
50.46	45.37
37.96	41.66
50.45	42.59
39.81	47.70
44.44	42.99
41.12	48.59
46.72	47.66
43.92	44.85
41.12	41.12
38.88	44.44
36.11	38.88
42.59	49.54
37.27	43.63
50.45	56.36
32.40	44.44
37.38	40.18
46.72	53.27
53.27	43.92
39.25	45.79
41.12	51.40
52.33	52.33
53.27	48.59
47.70	47.70
40.18	40.18
51.40	48.59
38.31	35.84
44.33	45.79
49.53	53.27
42.99	43.92
47.66	46.22
46.22	47.22
54.62	43.92
44.85	42.99
34.25	41.66
48.59	51.85
46.78	46.29
56.07	51.40
39.81	46.29
50.46	47.66
42.99	46.72
37.38	45.28
44.33	50.00
39.81	49.05
49.05	57.00
39.25	54.20
42.59	50.00
43.11	50.00
49.54	55.96
50.46	51.85
46.22	50.94
40.18	44.85
41.12	38.31
34.57	43.92
42.99	36.44
38.31	38.31
47.66	42.99
43.51	39.81
44.85	44.33
48.59	45.79
35.84	41.12
37.38	54.20
41.66	43.51
44.44	46.29
39.44	35.77
51.85	53.70
42.20	33.94
38.88	33.94
52.77	52.33
34.57	46.22
45.28	45.79
47.70	41.28
50.46	54.20
45.37	44.44
46.72	38.31
50.46	38.31
42.99	41.12
42.99	45.79
42.05	48.59
38.31	31.77
41.66	38.88
57.00	56.48
41.28	52.77
43.92	40.18
42.05	45.37
55.55	54.20
54.62	47.22
47.22	42.20
44.44	54.62
48.14	42.99
41.12	52.33
34.25	43.11
41.28	46.29
47.66	47.22
50.92	44.85
41.12	42.05
41.66	54.62
43.51	47.70
49.54	45.37
49.54	50.45
36.44	49.07
42.59	36.44
42.99	38.31
45.79	44.85
42.05	45.79
54.20	49.07
54.62	49.07
47.74	50.90
57.94	59.81
39.81	44.44
46.72	54.20
53.27	40.18
42.59	47.66
42.45	55.14
41.12	42.05
36.44	55.14
51.85	56.88
41.66	45.79
54.20	53.27
48.59	54.20
53.27	36.44
42.99	52.33
44.85	44.85
54.20	50.46
51.85	61.11
40.56	50.94
54.62	47.22
39.25	43.92
51.85	45.37
50.00	45.87
46.78	49.54
44.03	50.00
55.04	42.20
49.07	48.14
51.40	50.46
49.53	48.59
49.53	46.72
53.27	49.07
50.00	48.11
50.94	41.12
45.37	57.40
46.29	55.55
41.12	54.20
35.51	48.59
47.22	48.14
52.33	44.85
32.71	35.51
50.46	49.53
45.79	49.53
33.64	37.38
44.85	42.05
52.33	46.72
44.44	47.22
42.20	55.45
46.78	48.62
44.54	45.94
51.35	52.72
46.90	42.85
51.37	51.37
45.87	41.28
41.66	47.22
43.92	44.85
50.45	50.45
47.22	51.37
47.27	47.27
51.37	51.85
54.62	51.37
47.27	43.11
41.44	59.45
51.85	56.48
42.05	44.85
51.40	50.46
45.79	43.92
49.53	54.71
43.39	42.05
49.53	52.83
39.62	43.92
49.53	52.33
41.66	43.51
47.66	43.92
51.85	47.22
44.95	29.35
42.59	37.03
46.29	62.03
47.22	41.28
43.11	45.37
40.36	33.02
52.72	54.54
33.94	41.28
48.62	48.62
45.79	46.72
44.44	38.88
42.05	38.31
33.96	44.33
47.66	49.53
42.59	43.92
46.22	36.44
55.14	40.18
51.88	50.46
39.81	51.40
42.99	55.14
51.37	47.70
45.79	42.99
39.81	43.92
42.45	53.27
37.38	48.59
42.05	45.28
48.59	45.37
43.51	41.66
47.66	31.77
41.12	41.12
38.88	37.96
39.81	44.44
50.00	44.85
47.16	39.81
44.03	35.18
40.74	48.14
42.59	46.29
36.69	40.90
45.87	43.11
44.54	40.74
43.39	46.72
46.72	48.59
41.12	44.85
50.46	36.44
40.18	43.92
49.07	48.14
48.14	36.11
38.31	40.18
41.66	43.92
56.60	43.92
50.46	54.20
42.99	57.94
43.92	50.46
49.07	47.22
44.33	38.67
33.64	48.59
47.66	41.66
37.03	46.29
